,Player,Player ID,Team ID,Team Abbrev,GP,MIN,Height (in),Weight (lbs),Player Postion,Advanced ASTpercent,Advanced OREBpercent,Advanced DREBpercent,Advanced REBpercent,Advanced TSpercent,Advanced USGpercent,Advanced PACE,Advanced PIE,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT,spotupoffense Poss,spotupoffense PPP,touches Time_OfPoss,touches Avg_Sec_PerTouch,touches Avg_Drib_PerTouch,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss,ISO Percentile,ISO Poss,ISO PPP,ISO FG PCT,Passing ASTPTS Created,Passing percent ASTtoPassADJ,TransitionOffensive Poss,TransitionOffensive PPP,PickNRollMan Percentile,PickNRollMan Poss,PickNRollMan PPP,postupdefense Poss,postupdefense PPP,Postupoffense Poss,Postupoffense PPP,putbacksoffense Poss,putbacksoffense PPP,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT,Defense STLpercent,Defense BLKpercent,Defense WinShares
10,Mike Scott,203118.0,1610612755.0,PHI,68.0,17.8,79.0,237.0,Forward,4.5,4.5,14.4,9.5,52.8,13.2,102.5,7.3,5.9,60.4,16.5,7.9,8.9,25.7,64.6,100.0,84.4,64.3,29.599999999999998,25.0,63.9,52.400000000000006,47.199999999999996,68.30000000000001,48.5,14.299999999999999,55.60000000000001,27.800000000000004,19.400000000000002,0.0,37.0,2.4,1.02,0.6,1.45,0.4,36.3,0.928,44.1,5.3,7.3999999999999995,4.9,75.3,17.9,0.99,41.6,240.0,4.5,0.9,1.0,77.9,12.7,1.28,0.3,0.64,0.3,0.68,0.4,0.95,52.1,56.49999999999999,37.2,41.4,38.1,37.6,37.6,28.599999999999998,0.0,0.0,11.1,3.5999999999999996,7.6
11,Monte Morris,1628420.0,1610612743.0,DEN,73.0,22.4,74.0,183.0,Guard,24.7,1.5,6.4,3.9,53.8,16.8,99.76,10.4,20.1,30.2,16.3,9.4,17.6,40.3,36.9,85.1,48.9,48.8,22.400000000000002,27.3,66.7,0.0,100.0,65.7,41.699999999999996,31.3,21.4,31.3,17.599999999999998,0.0,26.700000000000003,1.5,0.98,3.5,4.94,4.65,37.2,0.89,40.9,10.6,14.799999999999999,9.6,68.8,14.799999999999999,0.951,36.6,110.00000000000001,4.3,1.5,1.13,92.2,25.7,1.449,0.3,1.53,0.0,0.0,0.0,0.0,73.8,64.60000000000001,47.699999999999996,42.9,37.2,38.2,39.1,15.4,33.300000000000004,0.0,20.0,9.2,6.4
12,Nikola Jokic,203999.0,1610612743.0,DEN,73.0,32.0,83.0,284.0,Center,34.6,7.5,24.2,15.8,59.7,27.0,96.77,18.2,14.4,18.0,2.6,16.5,11.1,51.1,51.3,85.3,56.6,14.299999999999999,37.5,0.0,62.5,0.0,50.0,53.300000000000004,20.0,0.0,0.0,66.7,33.300000000000004,0.0,40.0,2.4,0.99,3.9,2.37,1.1,34.599999999999994,1.049,51.2,16.5,9.5,15.1,68.0,11.4,0.945,42.3,90.0,6.6000000000000005,0.9,0.76,76.0,18.6,1.251,1.0,0.72,4.8,0.99,1.7,1.43,40.0,56.699999999999996,26.700000000000003,61.5,60.0,31.0,30.3,20.0,0.0,0.0,21.9,21.6,9.3
13,Shai Gilgeous-Alexander,1628983.0,1610612760.0,OKC,70.0,34.7,78.0,180.0,Guard-Forward,13.9,2.1,14.6,8.6,56.0,23.7,99.62,12.0,9.0,19.3,11.7,21.3,18.2,50.4,27.4,59.4,33.1,38.5,34.8,23.7,83.3,0.0,75.0,75.0,28.599999999999998,40.9,33.300000000000004,47.099999999999994,27.400000000000002,0.0,40.6,3.7,1.12,4.0,3.86,3.46,45.0,0.898,38.6,10.2,17.299999999999997,7.7,80.0,14.2,1.0,42.699999999999996,220.00000000000003,8.1,3.5,1.19,36.4,22.1,1.014,0.8,1.14,0.0,0.0,0.2,0.62,80.4,62.8,34.9,41.699999999999996,43.1,36.1,37.4,33.300000000000004,0.0,0.0,20.200000000000003,20.1,9.9
14,Terence Davis,1629056.0,1610612761.0,TOR,72.0,16.8,76.0,201.0,Guard,14.5,4.4,13.8,9.3,61.5,17.6,101.3,11.3,0.5,54.9,17.2,8.5,16.5,36.2,38.8,91.3,65.0,61.9,39.300000000000004,48.1,33.300000000000004,0.0,0.0,62.5,28.599999999999998,68.2,0.0,75.0,34.8,0.0,42.9,2.3,1.23,1.5,3.22,2.81,55.2,0.936,48.5,7.6,12.6,7.199999999999999,70.89999999999999,13.4,0.958,45.300000000000004,310.0,10.7,1.7,1.07,65.4,15.6,1.169,0.0,0.0,0.0,0.0,0.5,1.2,72.39999999999999,62.3,37.1,29.7,41.4,43.8,38.0,50.0,0.0,0.0,19.8,9.4,7.3999999999999995
15,Tobias Harris,202699.0,1610612755.0,PHI,72.0,34.3,80.0,226.0,Forward,13.9,1.9,17.3,9.6,55.8,23.1,99.35,12.6,12.2,28.1,12.5,12.4,15.0,47.2,48.6,89.8,58.4,50.0,0.0,0.0,16.7,0.0,50.0,28.599999999999998,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.13,3.0,3.0,2.02,37.6,0.959,46.9,12.4,11.200000000000001,10.6,56.3,13.3,0.88,41.3,30.0,2.1999999999999997,2.9,1.18,95.39999999999999,19.7,1.504,0.7,0.75,2.0,0.94,0.5,1.25,71.39999999999999,72.5,27.800000000000004,16.7,22.2,31.3,28.599999999999998,0.0,0.0,0.0,13.200000000000001,15.299999999999999,11.600000000000001
16,Tomas Satoransky,203107.0,1610612741.0,CHI,65.0,28.9,79.0,210.0,Guard,26.8,3.5,9.5,6.4,55.4,16.5,101.21,9.8,3.5,31.3,16.1,16.6,20.9,48.5,34.0,89.8,50.0,52.6,35.699999999999996,35.699999999999996,25.0,0.0,0.0,55.60000000000001,44.4,37.5,66.7,50.0,16.7,0.0,57.099999999999994,2.9,0.96,4.3,4.15,3.95,27.3,0.987,46.2,12.4,12.6,11.1,61.9,11.4,0.914,35.099999999999994,240.0,13.200000000000001,1.7,1.19,41.5,26.700000000000003,1.035,0.7,0.87,0.0,0.0,0.3,1.12,66.7,59.599999999999994,33.300000000000004,42.9,14.799999999999999,38.6,31.8,50.0,0.0,0.0,21.0,4.7,8.5
17,Zach LaVine,203897.0,1610612741.0,CHI,60.0,34.8,77.0,200.0,Guard-Forward,21.5,1.9,12.5,7.0,57.3,30.9,100.85,13.3,6.2,36.2,13.6,18.5,17.5,39.1,40.3,54.2,45.1,44.4,13.600000000000001,18.2,60.699999999999996,54.0,42.8,63.7,34.699999999999996,27.800000000000004,25.0,40.0,8.3,0.0,33.300000000000004,2.6,0.97,4.4,3.99,3.29,32.800000000000004,0.968,43.8,14.099999999999998,11.1,10.9,26.3,15.1,0.755,37.8,710.0,7.1,3.8,1.17,95.89999999999999,22.900000000000002,1.508,0.6,1.16,0.2,0.55,0.3,1.0,57.599999999999994,64.7,37.8,47.8,41.5,40.0,36.1,35.0,0.0,0.0,20.8,17.2,7.8
18,Bam Adebayo,1628389.0,1610612748.0,MIA,72.0,33.6,81.0,255.0,Center-Forward,22.3,7.9,21.8,15.1,61.3,19.9,98.22,14.8,3.7,0.4,4.9,21.8,10.6,74.2,71.5,100.0,71.6,50.0,33.300000000000004,29.4,83.3,0.0,80.0,72.0,25.0,41.699999999999996,16.7,37.5,29.2,0.0,31.8,1.2,0.84,2.9,2.69,1.42,37.0,0.902,44.1,9.0,11.4,7.000000000000001,73.7,12.9,0.98,40.5,700.0,13.100000000000001,1.5,1.11,78.3,22.5,1.285,0.7,0.69,1.1,0.88,1.4,1.14,60.5,58.4,40.2,34.1,21.6,32.9,40.1,15.4,50.0,25.0,23.1,41.5,11.0
19,Ben McLemore,203463.0,1610612745.0,HOU,71.0,22.8,75.0,195.0,Guard,5.3,1.2,7.4,4.3,60.9,15.7,104.63,6.4,0.0,73.5,12.9,8.0,12.5,18.5,86.3,96.3,93.5,25.0,25.0,0.0,42.9,0.0,100.0,41.699999999999996,0.0,0.0,0.0,0.0,33.300000000000004,0.0,0.0,4.4,1.22,0.6,1.39,0.54,27.3,0.923,46.7,12.3,19.5,10.2,73.3,8.5,0.973,40.0,140.0,5.2,2.0,1.13,97.2,26.0,1.655,0.3,1.0,0.0,0.0,0.0,0.0,83.3,69.19999999999999,14.299999999999999,33.300000000000004,20.0,40.0,16.7,0.0,0.0,0.0,15.299999999999999,9.8,6.5
20,Bruce Brown,1628971.0,1610612765.0,DET,58.0,28.2,76.0,202.0,Guard-Forward,20.4,3.6,12.7,8.2,51.6,15.9,98.15,8.0,1.3,19.1,13.3,17.8,19.3,61.9,39.6,100.0,49.7,48.9,34.4,32.2,62.5,51.9,60.0,67.4,37.6,33.800000000000004,43.3,17.599999999999998,33.1,0.0,34.0,2.4,0.89,4.2,4.54,4.14,38.4,0.847,43.2,10.8,15.5,10.0,83.39999999999999,22.8,1.037,43.6,980.0000000000001,10.9,1.8,1.08,74.2,28.499999999999996,1.243,0.4,0.55,0.0,0.0,0.6,1.11,67.7,62.4,40.2,38.3,46.400000000000006,39.800000000000004,38.1,60.0,33.300000000000004,16.7,25.3,17.1,7.000000000000001
21,Bryn Forbes,1627854.0,1610612759.0,SAS,63.0,25.1,74.0,205.0,Guard,10.6,0.9,7.1,4.0,55.3,18.6,100.13,6.2,13.4,62.3,17.3,9.9,14.2,14.4,69.9,91.9,83.1,40.6,33.800000000000004,34.4,76.5,0.0,33.300000000000004,55.60000000000001,30.8,42.1,41.699999999999996,23.5,33.5,0.0,34.1,4.1,1.13,1.1,2.2,1.35,25.5,1.021,45.9,8.0,11.3,7.5,58.699999999999996,9.2,0.897,40.699999999999996,370.0,8.0,1.9,1.06,88.0,32.6,1.365,0.5,0.96,0.0,0.0,0.0,0.0,65.9,57.099999999999994,38.6,45.300000000000004,40.8,40.9,36.8,21.4,0.0,0.0,15.1,0.0,2.9000000000000004
22,Buddy Hield,1627741.0,1610612758.0,SAC,72.0,30.8,76.0,220.0,Guard,15.5,2.8,12.5,7.5,56.3,25.9,100.09,10.2,13.6,56.4,15.2,8.4,16.0,21.6,40.7,70.5,56.1,100.0,71.39999999999999,0.0,63.6,43.8,55.00000000000001,60.9,47.4,57.099999999999994,0.0,0.0,0.0,0.0,0.0,3.5,1.21,3.3,3.32,2.74,39.4,0.885,44.0,15.2,13.600000000000001,15.4,88.3,9.8,1.081,49.5,70.0,3.3000000000000003,3.9,1.05,65.9,27.500000000000004,1.171,0.5,0.72,0.0,0.0,0.5,1.04,62.7,63.0,42.1,25.0,46.9,33.300000000000004,39.300000000000004,33.300000000000004,100.0,0.0,18.6,9.2,6.3
23,Cedi Osman,1626224.0,1610612739.0,CLE,65.0,29.4,79.0,230.0,Forward,11.5,1.6,10.4,5.9,55.3,16.0,100.39,6.5,4.1,51.0,14.3,7.7,13.2,37.1,53.3,89.9,69.9,46.800000000000004,35.3,36.0,70.89999999999999,45.2,59.3,73.5,40.1,34.9,53.6,26.700000000000003,30.8,0.0,44.2,0.0,0.0,1.8,2.7,1.7,43.3,0.92,45.2,5.800000000000001,11.4,4.6,62.9,15.1,0.917,43.1,840.0,9.9,0.0,0.0,35.9,24.4,1.013,0.0,0.0,0.0,0.0,0.0,0.0,51.800000000000004,59.099999999999994,40.8,43.1,38.5,41.4,32.6,46.2,20.0,10.0,21.3,15.0,3.1
24,Chris Paul,101108.0,1610612760.0,OKC,70.0,31.5,72.0,175.0,Guard,31.6,1.1,14.5,8.0,60.7,22.2,100.52,15.1,23.8,28.1,7.8,20.6,14.1,27.4,14.1,34.1,19.5,22.2,33.6,58.3,50.0,0.0,40.0,39.1,42.9,57.099999999999994,50.0,40.0,30.2,0.0,43.6,1.4,1.32,6.0,4.99,4.34,17.9,0.979,48.3,18.6,23.400000000000002,16.0,31.2,18.2,0.775,30.599999999999998,210.0,6.0,2.4,0.98,70.8,28.4,1.209,0.8,0.93,0.0,0.0,0.0,0.0,62.0,59.599999999999994,36.3,49.2,40.0,38.5,37.3,30.0,0.0,0.0,28.7,5.6000000000000005,11.0
25,Collin Sexton,1629012.0,1610612739.0,CLE,65.0,33.0,73.0,190.0,Guard,13.7,3.0,6.9,4.9,54.4,26.3,100.04,9.2,10.1,20.2,14.4,16.6,12.9,53.1,25.4,76.4,34.4,60.0,0.0,33.300000000000004,0.0,0.0,0.0,37.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.11,4.4,4.42,4.04,44.1,0.85,45.5,7.8,13.100000000000001,7.1,81.39999999999999,10.0,1.008,47.8,20.0,3.4000000000000004,3.2,1.12,82.89999999999999,29.5,1.325,0.9,1.04,0.0,0.0,0.7,1.39,50.0,77.3,20.0,37.5,63.6,30.0,54.50000000000001,0.0,0.0,0.0,21.6,5.4,1.7000000000000002
26,Cory Joseph,202709.0,1610612758.0,SAC,72.0,24.4,75.0,200.0,Guard,19.5,2.3,8.5,5.3,49.8,13.1,98.73,6.6,15.7,34.8,9.3,11.3,17.1,38.3,17.2,90.0,39.1,50.0,14.299999999999999,100.0,59.199999999999996,80.0,43.3,72.89999999999999,40.5,8.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.7,4.67,4.72,39.300000000000004,0.94,43.7,13.3,16.1,8.6,80.0,9.1,1.0,44.3,180.0,3.4000000000000004,0.9,0.96,27.200000000000003,16.7,0.957,0.4,1.05,0.0,0.0,0.2,1.4,68.8,66.3,47.699999999999996,42.4,42.1,37.1,36.9,33.300000000000004,0.0,0.0,19.1,14.799999999999999,8.1
27,Damian Lillard,203081.0,1610612757.0,POR,66.0,37.5,74.0,195.0,Guard,34.1,1.3,9.2,5.4,62.1,29.7,102.19,16.9,7.3,39.9,8.9,23.1,9.9,29.7,8.8,27.4,16.6,53.800000000000004,35.0,40.0,59.5,56.699999999999996,54.800000000000004,63.5,54.2,29.4,15.4,36.4,36.8,0.0,25.0,1.3,1.18,8.8,6.28,5.78,31.8,0.956,42.8,11.5,11.5,10.100000000000001,69.19999999999999,11.1,0.952,46.9,420.0,7.5,2.6,1.16,43.3,17.7,1.041,0.6,0.91,0.0,0.0,0.4,0.65,61.1,61.0,47.4,41.199999999999996,41.699999999999996,44.2,37.8,40.0,0.0,0.0,21.9,6.7,5.0
28,Dennis Schroder,203471.0,1610612760.0,OKC,65.0,30.8,75.0,172.0,Guard,21.9,1.1,10.2,5.9,57.6,26.2,101.68,12.3,18.4,31.4,9.4,15.1,17.3,35.1,35.1,85.3,49.2,45.5,35.4,36.4,66.7,0.0,75.0,57.199999999999996,32.800000000000004,37.5,62.5,25.8,32.9,0.0,44.4,4.0,1.14,5.0,4.13,3.44,35.5,0.864,36.5,20.200000000000003,11.899999999999999,19.2,64.4,7.7,0.922,38.1,480.0,9.9,2.9,1.03,70.0,15.5,1.208,0.7,0.81,0.0,0.0,0.0,0.0,74.8,66.7,37.7,38.1,35.699999999999996,34.9,35.9,47.099999999999994,0.0,0.0,14.399999999999999,6.0,14.6
29,Devonte' Graham,1628984.0,1610612766.0,CHA,63.0,35.1,73.0,195.0,Guard,35.4,2.0,8.2,5.0,53.6,24.1,97.71,11.0,6.1,58.2,11.3,16.6,15.9,19.0,29.3,53.2,43.8,46.300000000000004,37.7,44.3,57.49999999999999,0.0,36.4,61.8,47.099999999999994,44.0,44.7,25.0,37.1,0.0,36.1,2.6,1.16,8.2,5.38,4.95,33.7,0.919,45.5,2.8000000000000003,10.6,2.1999999999999997,71.3,8.200000000000001,0.958,39.6,300.0,8.4,2.8,0.97,48.8,17.2,1.071,0.4,1.1,0.0,0.0,0.2,0.67,61.7,60.099999999999994,38.5,43.5,40.8,38.5,30.3,50.0,0.0,0.0,20.1,8.1,7.3
30,Dillon Brooks,1628415.0,1610612763.0,MEM,73.0,28.9,79.0,225.0,Guard-Forward,10.2,3.3,7.9,5.6,52.4,24.0,103.54,6.6,14.2,39.3,16.9,14.3,12.5,32.3,53.8,88.3,66.2,0.0,25.0,21.4,100.0,0.0,0.0,40.0,0.0,16.7,0.0,100.0,33.300000000000004,0.0,33.300000000000004,3.5,1.09,1.9,2.68,1.65,26.200000000000003,0.898,40.5,5.2,14.6,4.7,41.3,10.2,0.813,37.2,70.0,9.5,3.0,1.06,89.4,11.1,1.377,0.2,1.31,0.3,0.67,0.5,0.96,80.0,60.3,22.2,50.0,36.4,47.8,30.3,0.0,0.0,0.0,19.3,11.5,8.5
31,Duncan Robinson,1629130.0,1610612748.0,MIA,73.0,29.7,79.0,215.0,Forward,6.8,0.5,10.3,5.6,66.5,15.2,99.12,7.6,0.9,84.1,9.3,5.9,12.5,9.1,82.4,95.3,93.3,56.8,41.099999999999994,29.099999999999998,65.2,45.2,56.00000000000001,70.7,44.4,22.3,0.0,25.0,20.0,0.0,12.5,3.4,1.27,0.7,1.38,0.43,28.000000000000004,1.022,47.099999999999994,14.6,20.1,12.1,74.9,13.700000000000001,0.982,48.3,1360.0,12.4,1.1,1.25,63.6,18.3,1.159,0.4,1.0,0.0,0.0,0.0,0.0,58.9,64.1,37.0,34.5,39.1,36.8,33.7,34.599999999999994,50.0,16.7,11.1,9.3,11.0
